date,risk_score,alert,true_label
2020-03-24,1.0404725e-11,0,0.0
2020-03-25,1.6597053e-10,0,0.0
2020-03-26,5.8259585e-11,0,0.0
2020-03-27,2.7113656e-10,0,0.0
2020-03-28,6.3845473e-10,0,0.0
2020-03-29,1.9971795e-08,0,0.0
2020-03-30,1.951554e-09,0,0.0
2020-03-31,4.0782093e-09,0,0.0
2020-04-01,9.949177e-10,0,0.0
2020-04-02,4.953824e-09,0,0.0
2020-04-03,5.9393274e-10,0,0.0
2020-04-04,8.972368e-10,0,0.0
2020-04-05,3.9823393e-09,0,0.0
2020-04-06,8.378262e-08,0,0.0
2020-04-07,1.6965132e-07,0,0.0
2020-04-08,4.3105686e-07,0,0.0
2020-04-09,5.297367e-06,0,0.0
2020-04-10,7.555898e-05,0,0.0
2020-04-11,0.0001144108,0,0.0
2020-04-12,9.445811e-05,0,0.0
2020-04-13,0.0005562768,0,0.0
2020-04-14,0.0041162595,0,0.0
2020-04-15,0.0039957114,0,0.0
2020-04-16,0.007097195,0,0.0
2020-04-17,0.0073741805,0,0.0
2020-04-18,0.04314999,0,0.0
2020-04-19,0.027863836,0,0.0
2020-04-20,0.03275796,0,0.0
2020-04-21,0.028791575,0,0.0
2020-04-22,0.05462654,0,0.0
2020-04-23,0.07007032,0,0.0
2020-04-24,0.098428264,0,0.0
2020-04-25,0.07364037,0,0.0
2020-04-26,0.049212918,0,0.0
2020-04-27,0.119336806,0,0.0
2020-04-28,0.059811145,0,0.0
2020-04-29,0.039859626,0,0.0
2020-04-30,0.019831344,0,0.0
2020-05-01,0.110954426,0,0.0
2020-05-02,0.08916381,0,0.0
2020-05-03,0.083453484,0,0.0
2020-05-04,0.020679958,0,0.0
2020-05-05,0.033138976,0,0.0
2020-05-06,0.00587836,0,0.0
2020-05-07,0.0015364541,0,0.0
2020-05-08,0.00082431675,0,0.0
2020-05-09,0.0006428947,0,0.0
2020-05-10,0.0009906584,0,0.0
2020-05-11,0.00049331103,0,0.0
2020-05-12,0.00037791126,0,0.0
2020-05-13,0.0016117893,0,0.0
2020-05-14,0.0055093,0,0.0
2020-05-15,0.036675774,0,0.0
2020-05-16,0.04078071,0,0.0
2020-05-17,0.1327456,0,0.0
2020-05-18,0.40076816,0,0.0
2020-05-19,0.6005398,1,0.0
2020-05-20,0.40087646,0,0.0
2020-05-21,0.45199785,0,0.0
2020-05-22,0.39213315,0,0.0
2020-05-23,0.2947302,0,0.0
2020-05-24,0.30619487,0,0.0
2020-05-25,0.33674145,0,0.0
2020-05-26,0.3232155,0,0.0
2020-05-27,0.20018034,0,0.0
2020-05-28,0.17610587,0,0.0
2020-05-29,0.14371021,0,0.0
2020-05-30,0.15200543,0,0.0
2020-05-31,0.31200737,0,0.0
2020-06-01,0.7981092,1,0.0
2020-06-02,0.8045321,1,0.0
2020-06-03,0.7848328,1,0.0
2020-06-04,0.7111694,1,0.0
2020-06-05,0.62207973,1,0.0
